date,open,high,low,close,volume,amount,turn,pctChg,adjustflag,flag
2017-03-22,25.78760928,25.78760928,24.9256928,25.06546304,15847552,686421184.0,2.565137,-3.215652,2,
2017-03-23,25.1004056,25.3042372,24.68109488,24.96645912,8992578,385557456.0,1.455569,-0.394986,2,
2017-03-24,24.9839304,25.5080688,24.8674552,25.29258968,7790110,336087680.0,1.260933,1.306278,2,
2017-03-27,25.2168808,25.26347088,24.9839304,25.08875808,5989416,258190475.0,0.969467,-0.805891,2,
2017-03-28,25.0712868,25.75266672,25.02469672,25.3624748,10658716,466738176.0,1.725255,1.090987,2,
2017-03-29,25.3915936,25.41488864,24.9839304,25.00140168,6584137,284196880.0,1.06573,-1.423649,2,
2017-03-30,25.01887296,25.1586432,24.33749304,24.39573064,9471522,400316512.0,1.533092,-2.42255,2,
2017-03-31,24.41320192,24.74515624,24.4015544,24.605386,4872875,205231864.0,0.78874,0.859395,2,
2017-04-05,24.459792,25.03634424,24.3724356,24.91986904,9786864,416140224.0,1.584134,1.278109,2,
2017-04-06,24.896574,24.9256928,24.605386,24.70438992,6890856,292907088.0,1.115377,-0.864695,2,
2017-04-07,24.70438992,24.70438992,24.41320192,24.49473456,7255245,305224512.0,1.174358,-0.848649,2,
2017-04-10,24.50055832,24.50055832,23.4115152,23.46392904,14579422,594526032.0,2.359874,-4.208275,2,
2017-04-11,23.4697528,23.65611312,23.17274104,23.60952304,10952993,439019952.0,1.772888,0.620501,2,
2017-04-12,23.34163008,23.74929328,23.2368024,23.28339248,7128417,287306128.0,1.153829,-1.381355,2,
2017-04-13,23.31251128,23.60952304,23.26009744,23.3532776,6317333,253423249.0,1.022545,0.300147,2,
2017-04-14,23.31833504,24.21519408,23.31251128,23.66193688,13593686,557293264.0,2.200319,1.321702,2,
2017-04-17,23.2368024,23.53381416,22.86990552,23.36492512,7253440,288864176.0,1.174066,-1.255235,2,
2017-04-18,23.34163008,23.51634288,22.8873768,22.89320056,6971129,277178368.0,1.12837,-2.018937,2,
2017-04-19,22.70684024,22.712664,22.0429316,22.19434936,9196612,351409584.0,1.488594,-3.05266,2,
2017-04-20,22.20599688,23.1785648,22.130288,22.93396688,15150258,589722032.0,2.452271,3.33246,2,
2017-04-21,22.7417828,22.76507784,22.24093944,22.28752952,8853769,341979728.0,1.4331,-2.818691,2,
2017-04-24,22.2467632,22.35159088,21.4314368,21.984694,9859409,370087888.0,1.595877,-1.358768,2,
2017-04-25,22.130288,22.5088324,21.6643872,22.0138128,8892459,339300784.0,1.439363,0.132448,2,
2017-04-26,22.05457912,22.5088324,22.03710784,22.31082456,7948776,304633008.0,1.286615,1.349212,2,
2017-04-27,22.28752952,23.003852,21.8391,22.82331544,15766181,609776912.0,2.551966,2.297043,2,
2017-04-28,22.712664,22.8873768,22.54377496,22.712664,7000826,273068896.0,1.133177,-0.484814,2,
2017-05-02,22.71848776,22.85243424,22.61366008,22.75343032,5006596,195298240.0,0.810384,0.179486,2,
2017-05-03,22.66025016,22.8000204,22.22929192,22.3632384,7518713,290094528.0,1.217004,-1.714866,2,
2017-05-04,22.1594068,22.5961888,22.00798904,22.22929192,7572677,290261888.0,1.225739,-0.598967,2,
2017-05-05,22.1885256,22.275882,21.78668616,21.80415744,9079906,342966992.0,1.469704,-1.912496,2,
2017-05-08,21.80415744,22.5088324,21.67603472,22.24093944,12211078,467331040.0,1.976526,2.003205,2,
2017-05-09,22.08952168,22.6835452,21.96722272,22.54959872,12174548,469236320.0,1.970613,1.387805,2,
2017-05-10,22.61382732,23.01670728,21.87229464,21.88981116,13922237,535772672.0,2.2535,-2.925938,2,
2017-05-11,21.4869312,21.93068304,20.6402994,21.58619148,14951322,546983152.0,2.420071,-1.387038,2,f
2017-05-12,21.3993486,21.7788732,21.06653472,21.37599324,9218812,338733824.0,1.492188,-0.973764,2,
2017-05-15,21.6620964,21.73800132,21.20082804,21.3701544,5144412,188982363.0,0.832692,-0.027321,2,
2017-05-16,21.29424948,22.07665404,20.85633648,22.06497636,10456309,382544816.0,1.692493,3.251373,2,
2017-05-17,22.20510852,23.0050296,21.90148884,22.29852996,15677700,603384720.0,2.537645,1.058475,2,
2017-05-18,21.97739376,22.3043688,21.84310044,22.00658796,7640797,288871648.0,1.236765,-1.309243,2,
2017-05-19,22.05913752,22.35691836,21.83142276,22.25765808,7419768,281188160.0,1.200988,1.140887,2,
2017-05-22,22.23430272,22.4503398,21.43438164,21.49860888,8486106,318730720.0,1.373589,-3.410281,2,
2017-05-23,21.49277004,21.74384016,20.9614356,21.05485704,8081515,295361776.0,1.308101,-2.064091,2,
2017-05-24,21.0782124,21.49277004,20.727882,21.43438164,6815305,247147730.0,1.103148,1.802545,2,
2017-05-25,21.3409602,22.08249288,21.0782124,21.94236072,11444652,425141456.0,1.852469,2.369934,2,
2017-05-26,21.93652188,22.32188532,21.86061696,21.89565,7548952,285193456.0,1.221898,-0.212884,2,
2017-05-31,22.18175316,22.29852996,21.7788732,21.82558392,8580239,324393296.0,1.388826,-0.319997,2,
2017-06-01,21.6620964,21.74384016,21.0782124,21.11324544,8833102,324001600.0,1.429755,-3.263781,2,
2017-06-02,21.03734052,21.9832326,20.95559676,21.82558392,8981937,330886560.0,1.453846,3.373897,2,
2017-06-05,21.89565,22.2751746,21.76135668,22.08833172,9349421,353165856.0,1.513328,1.203854,2,
2017-06-06,22.11168708,23.34368232,21.84893928,23.25026088,26702273,1043243424.0,4.322119,5.26037,2,
2017-06-07,22.99919076,24.0560208,22.917447,23.48965332,26385081,1059465088.0,4.270777,1.029633,2,
2017-06-08,23.35536,25.5741192,23.35536,24.76835928,33241568,1395613408.0,5.380591,5.443696,2,
2017-06-09,24.7566816,25.398954,24.20783064,24.6399048,22976043,977601920.0,3.718979,-0.518617,2,
2017-06-12,24.56983872,25.55660268,24.523128,24.6982932,20175292,864948768.0,3.26564,0.236963,2,
2017-06-13,24.5523222,25.3405656,24.45306192,25.03694592,19406103,828945216.0,3.141136,1.371163,2,
2017-06-14,24.82674768,25.00191288,24.377157,24.57567756,14557176,613813232.0,2.356273,-1.842353,2,
2017-06-15,24.49977264,26.41491216,24.4939338,26.20471392,34635063,1519105488.0,5.606146,6.628655,2,
2017-06-16,25.98867684,26.2455858,25.63834644,25.69673484,17752953,786531808.0,2.873552,-1.938509,2,
2017-06-19,25.62666876,26.17551972,25.2821772,25.690896,15110273,665810512.0,2.445799,-0.022718,2,
2017-06-20,25.70257368,26.25726348,25.4865366,25.81351164,16905952,748761248.0,2.736454,0.477271,2,
2017-06-21,25.982838,27.004635,25.91277192,26.1871974,25699773,1161276704.0,4.159851,1.447635,2,
2017-06-22,26.1580032,26.55504432,24.76252044,24.80339232,29375740,1293089664.0,4.754855,-5.284279,2,
2017-06-23,24.7566816,25.50405312,24.7566816,25.42230936,19775700,854075472.0,3.200961,2.495295,2,
2017-06-26,25.50405312,26.37987912,25.1362062,26.2455858,21588681,959772192.0,3.494416,3.238401,2,
2017-06-27,26.28061884,26.99879616,26.01787104,26.4791394,19897682,902667872.0,3.220705,0.889873,2,
2017-06-28,26.26894116,26.5375278,25.85438352,26.16384204,13850878,620700192.0,2.241949,-1.190732,2,
2017-06-29,26.2455858,27.99139896,26.2455858,27.46590336,40226607,1874852320.0,6.511212,4.976566,2,b
2017-06-30,27.15644484,27.37248192,26.8878582,27.25570512,18010030,837143680.0,2.915163,-0.765307,2,
2017-07-03,27.21483324,27.60603552,26.88201936,27.37248192,17165782,802125712.0,2.778511,0.428451,2,
2017-07-04,27.15644484,27.1798002,26.3623626,26.52001128,23839021,1087453728.0,3.858663,-3.114341,2,
2017-07-05,26.33900724,26.73020952,26.0120322,26.60759388,18383440,829543168.0,2.975605,0.330254,2,
2017-07-06,26.5083336,26.858664,26.19887508,26.28061884,17865409,809943104.0,2.891754,-1.228882,2,
2017-07-07,26.22223044,26.5959162,26.02370988,26.14048668,16470267,740520016.0,2.665932,-0.53321,2,
2017-07-10,25.98867684,26.35652376,25.36392096,25.44566472,17457689,769530000.0,2.82576,-2.658027,2,
2017-07-11,25.3405656,25.90693308,25.22962764,25.46902008,12730283,556673904.0,2.060566,0.091779,2,
2017-07-12,25.40479284,25.59163572,24.669099,25.1654004,15470207,663368000.0,2.504059,-1.192115,2,
2017-07-13,25.15956156,25.62082992,24.9318468,25.52740848,11963080,519120544.0,1.936384,1.438522,2,
2017-07-14,25.52740848,25.52740848,24.88513608,24.94936332,9945989,427792272.0,1.609891,-2.264414,2,
2017-07-17,24.51145032,24.51145032,22.45617864,22.45617864,34747521,1365222416.0,5.624349,-9.99298,2,
2017-07-18,22.40946792,22.99335192,21.6912906,22.625505,15799092,605904880.0,2.557294,0.754033,2,f
2017-07-19,22.43866212,23.0342238,22.2167862,23.01086844,13042590,505220464.0,2.111117,1.703225,2,
2017-07-20,22.9466412,23.58307476,22.8298644,22.90576932,14458309,574724832.0,2.34027,-0.456738,2,
2017-07-21,23.2969716,23.75823996,23.0342238,23.11596756,12740904,510492016.0,2.062285,0.917667,2,
2017-07-24,22.8298644,23.50716984,22.57295544,23.36119884,9497217,375439904.0,1.537251,1.060869,2,
2017-07-25,23.32032696,23.7056904,22.771476,23.34952116,9961812,397831696.0,1.612452,-0.049979,2,
2017-07-26,23.2969716,23.8516614,23.1801948,23.65314084,11509990,464379856.0,1.863045,1.300317,2,
2017-07-27,23.3845542,25.4281482,23.35536,25.32304908,27991415,1178935488.0,4.530783,7.059987,2,
2017-07-28,25.252983,25.35808212,24.7274874,24.80923116,14747961,630990160.0,2.387154,-2.029046,2,
2017-07-31,24.54064452,25.03694592,24.33628512,24.669099,13289823,562812208.0,2.151135,-0.564843,2,
2017-08-01,24.669099,24.95520216,24.40051236,24.86761956,11519334,486971504.0,1.864558,0.804734,2,
2017-08-02,24.7274874,25.32304908,24.45306192,24.96687984,15805451,676083760.0,2.558323,0.39915,2,
2017-08-03,24.89681376,26.3331684,24.54064452,25.38727632,27504647,1210451328.0,4.451994,1.68382,2,
2017-08-04,25.107012,25.56244152,24.80339232,24.86178072,14744763,635105024.0,2.386636,-2.069912,2,
2017-08-07,24.7858758,25.35808212,24.68661552,24.91433028,8161552,349723040.0,1.321056,0.211358,2,
2017-08-08,24.86178072,25.9536438,24.81507,25.85438352,21852446,957574928.0,3.53711,3.773144,2,
2017-08-09,25.690896,25.73760672,25.2237888,25.43398704,12212693,532852576.0,1.976787,-1.62601,2,
2017-08-10,25.34640444,26.08209828,25.18291692,25.4281482,16556754,727392736.0,2.679931,-0.022962,2,
2017-08-11,25.0486236,25.2237888,24.3187686,24.39467352,17282773,733930976.0,2.797447,-4.064295,2,
2017-08-14,24.4063512,26.27478,24.4063512,26.0412264,33556363,1475536640.0,5.431544,6.74964,2,
2017-08-15,26.20471392,26.20471392,25.65002412,25.99451568,15486515,686088096.0,2.506699,-0.179368,2,
2017-08-16,25.72592904,27.1798002,25.4281482,26.70101532,34256862,1561045856.0,5.54493,2.717878,2,
2017-08-17,26.4499452,29.0774232,26.3039742,28.16072532,47754299,2272963984.0,7.72967,5.466871,2,
2017-08-18,27.9096552,28.60447716,27.3257712,27.588519,27717829,1322772960.0,4.4865,-2.031929,2,
2017-08-21,27.442548,28.24830792,27.150606,27.61187436,24761545,1172250208.0,4.007986,0.084658,2,
2017-08-22,27.48925872,29.4569478,27.3257712,29.00735712,41782563,2049303584.0,6.763065,5.053921,2,
2017-08-23,28.610316,28.94896872,27.9680436,28.30669632,23523207,1144919744.0,3.807544,-2.415461,2,
2017-08-24,28.026432,28.2015972,27.150606,27.442548,25734631,1211374576.0,4.165493,-3.052804,2,
2017-08-25,27.60603552,28.06146504,27.06886224,27.75784536,22530865,1067165712.0,3.646921,1.148938,2,
2017-08-28,27.49509756,29.5737246,27.49509756,28.72125396,40090044,1981913232.0,6.489108,3.470757,2,
2017-08-29,28.45850616,29.1650058,28.32421284,28.51689456,18695912,916188624.0,3.026182,-0.711524,2,
2017-08-30,28.610316,29.88902196,28.4351508,29.42191476,32387778,1627761568.0,5.242393,3.173627,2,
2017-08-31,30.29190192,30.65391,29.35768752,29.97660456,32761464,1688326736.0,5.302879,1.885296,2,
2017-09-01,30.11673672,32.97192948,29.6029188,32.11945884,55967201,3041471216.0,9.059037,7.148418,2,
2017-09-04,32.11362,33.81856128,31.7924838,32.56321068,45705782,2563359872.0,7.39809,1.381571,2,
2017-09-05,32.27710752,32.9602518,31.4713476,32.21288028,28515775,1568505104.0,4.615658,-1.075851,2,
2017-09-06,31.8800664,33.09454512,31.71074004,32.989446,28403378,1582912272.0,4.597465,2.410734,2,
2017-09-07,32.87850804,34.1864082,31.51805832,31.84503336,42578639,2392124384.0,6.89192,-3.469025,2,
2017-09-08,31.5589302,32.0552316,31.237794,31.72825656,24263976,1311181024.0,3.927448,-0.366705,2,
2017-09-11,31.383765,31.80416148,31.2669882,31.68154584,17088966,922448368.0,2.766077,-0.147225,2,
2017-09-12,31.675707,32.6099214,30.8290752,31.83919452,36497726,1973463721.0,5.907643,0.497605,2,
2017-09-13,31.5881244,31.8508722,31.2085998,31.49470296,13571847,733939182.0,2.196784,-1.081974,2,
2017-09-14,31.5881244,31.8508722,30.7706868,30.83491404,18793079,1006616257.0,3.04191,-2.094915,2,
2017-09-15,30.67726536,31.4421534,30.361968,30.63639348,20004665,1057322197.0,3.238022,-0.643818,2,
2017-09-18,30.7122984,31.6465128,30.66558768,31.55309136,17985148,964265425.0,2.911136,2.992185,2,
2017-09-19,31.6465128,32.0844258,31.04511228,31.13269488,14470411,781064567.0,2.342229,-1.332349,2,
2017-09-20,30.945852,31.87422756,30.68894304,31.8508722,19260621,1034445879.0,3.117588,2.306826,2,
2017-09-21,31.78664496,32.1720084,31.19692212,31.2669882,18135897,984611189.0,2.935537,-1.833181,2,b
2017-09-22,30.9750462,30.9750462,30.070026,30.11089788,18629067,971019319.0,3.015363,-3.697478,2,
2017-09-25,29.84815008,30.53129436,29.4569478,29.5153362,11742958,601373835.0,1.900754,-1.977895,2,
2017-09-26,29.47446432,30.0116376,29.3985594,29.92989384,9583385,488138327.0,1.551199,1.404548,2,f
2017-09-27,29.92989384,30.11673672,29.67882372,29.94157152,9036186,463003867.0,1.462627,0.039018,2,
2017-09-28,29.72553444,30.28606308,29.64962952,29.73137328,9980911,511415082.0,1.615543,-0.702029,2,
2017-09-29,29.70801792,30.12257556,29.70217908,29.80143936,7065911,361681358.0,1.143712,0.235669,2,
2017-10-09,30.8290752,30.93417432,30.2451912,30.75900912,12867133,675431093.0,2.082717,3.213165,2,
2017-10-10,30.86410824,32.48146692,30.72397608,32.03187624,24696780,1350282334.0,3.997503,4.138193,2,b
2017-10-11,31.967649,31.98516552,31.15605024,31.58228556,15301248,825719718.0,2.476711,-1.403574,2,
2017-10-12,31.54141368,32.45227272,31.2961824,31.69906236,13941890,760889691.0,2.256681,0.369756,2,
2017-10-13,31.529736,31.81000032,31.17356676,31.54725252,9054045,487288537.0,1.465518,-0.478913,2,
2017-10-16,31.56476904,32.11362,30.10505904,30.14009208,18679626,989470825.0,3.023546,-4.460485,2,
2017-10-17,29.924055,30.4787448,29.778084,30.1868028,9877151,509677465.0,1.598748,0.154982,2,
2017-10-18,30.28022424,30.3911622,29.3693652,29.57956344,11711977,600224742.0,1.89574,-2.011607,2,
2017-10-19,29.62043532,29.87150544,28.3767624,28.64534904,15128042,750352841.0,2.448675,-3.158308,2,
2017-10-20,28.59863832,29.18252232,28.57528296,29.0774232,7539146,374036438.0,1.220311,1.508353,2,
2017-10-23,29.08910088,29.6905014,29.08910088,29.46862548,7274124,366278568.0,1.177414,1.345386,2,
2017-10-24,29.486142,29.57956344,28.70373744,29.20003884,8054206,400408667.0,1.303681,-0.911438,2,
2017-10-25,29.31681564,30.22767468,29.22923304,30.04667064,12060104,617729729.0,1.952089,2.899422,2,
2017-10-26,29.90653848,30.6831042,29.78976168,30.60719928,13703249,711453203.0,2.218053,1.865525,2,
2017-10-27,30.65391,30.65391,30.08170368,30.43203408,9325929,483608436.0,1.509526,-0.572299,2,
2017-10-30,30.36780684,30.75900912,29.41607592,29.46862548,12874124,659322566.0,2.083849,-3.165767,2,
2017-10-31,29.486142,30.0116376,29.3693652,29.82479472,8413126,427923799.0,1.361777,1.20864,2,
2017-11-01,29.85982776,31.3545708,29.63795184,30.74733144,16733249,878525464.0,2.708499,3.093183,2,
2017-11-02,30.81739752,31.7340954,30.53129436,31.14437256,23640002,1269073569.0,3.826449,1.291303,2,
2017-11-03,31.14437256,31.5881244,30.39700104,30.8582694,17734691,938306792.0,2.870596,-0.918638,2,
2017-11-06,30.82323636,31.821678,30.65391,31.78664496,20369397,1095835694.0,3.297058,3.008515,2,
2017-11-07,31.65819048,31.967649,31.2961824,31.93261596,18999023,1028093378.0,3.075245,0.459221,2,
2017-11-08,32.10778116,32.10778116,31.13269488,31.1502114,19395608,1050967098.0,3.139438,-2.450174,2,
2017-11-09,30.945852,31.40712036,30.83491404,31.24363284,12113762,645725516.0,1.960774,0.299906,2,
2017-11-10,31.1794056,33.1062228,31.06846764,33.07118976,35517841,1963262287.0,5.749036,5.849376,2,
2017-11-13,32.82011964,33.7484952,32.45811156,33.56749116,29140552,1655381243.0,4.716787,1.50071,2,
2017-11-14,33.28722684,33.47990856,32.63327676,32.89018572,20399031,1151918885.0,3.301855,-2.017742,2,
2017-11-15,32.697504,33.27554916,31.45383108,31.49470296,23338895,1287633417.0,3.777711,-4.24286,2,
2017-11-16,31.36624848,31.9968432,31.237794,31.47718644,14426163,781531316.0,2.335067,-0.055615,2,
